PSurf_Autumn,PSurf_Spring,PSurf_Summer,PSurf_Winter,Rainf_Autumn,Rainf_Spring,Rainf_Summer,Rainf_Winter,Snowf_Autumn,Snowf_Spring,Snowf_Summer,Snowf_Winter,Tair_Autumn,Tair_Spring,Tair_Summer,Tair_Winter,Wind_Autumn,Wind_Spring,Wind_Summer,Wind_Winter,sand % topsoil,silt % topsoil,clay % topsoil,pH water topsoil,OC % topsoil,OC % subsoil,N % topsoil,N % subsoil,CEC topsoil,CaCO3 % topsoil,C/N topsoil
0.54824543,0.5367451,0.52993345,0.5559449,0.741745,0.82393193,0.2562154,0.34005252,2.7886681e-08,0.0,0.0,2.2353608e-07,0.77898407,0.7660122,0.78601074,0.7169285,0.6426678,0.7780484,0.7797855,0.7759946,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.6285434,0.6161847,0.61133003,0.6380811,0.51866937,0.8367238,1.0,0.3815131,2.7886681e-08,0.0,0.0,3.254764e-07,0.7535229,0.74489594,0.7737427,0.6951256,0.61065626,0.77105534,0.71319306,0.73984045,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
0.6813097,0.66821575,0.66430473,0.69268656,0.40547833,0.70690477,0.7199721,0.5676354,2.7886681e-08,0.0,0.0,2.958509e-07,0.7281494,0.7259197,0.7551937,0.67310333,0.52306914,0.6489159,0.61872375,0.62394077,0.7836919,0.21927553,0.13081059,0.7113402,0.23948903,0.591954,0.23606558,0.38775513,0.25369978,0.06793619,0.67179275
0.67079926,0.65720606,0.65314245,0.6826539,0.47228256,0.39645547,0.22940558,0.36315808,2.6398578e-08,0.0,0.0,3.1325794e-07,0.7077961,0.70894814,0.73968315,0.65356827,0.45275283,0.623757,0.5720434,0.5433585,0.7836919,0.21927553,0.13081059,0.7113402,0.23948903,0.591954,0.23606558,0.38775513,0.25369978,0.06793619,0.67179275
0.65475655,0.64092016,0.63659954,0.6670079,0.32369193,0.28056818,0.21303928,0.41816673,0.0,0.0,0.0,1.6652938e-07,0.6442318,0.6560898,0.6963997,0.6054268,0.45881855,0.65617526,0.562588,0.5100159,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.6106529,0.5969553,0.59155893,0.62266254,0.13068846,0.13626498,0.37892488,0.4824861,0.0,0.0,0.0,7.870256e-08,0.6187706,0.63490677,0.68403244,0.58340454,0.47701263,0.64511955,0.56761,0.50863856,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.5497041,0.5363903,0.52987576,0.56128454,0.4728836,0.22829974,0.5091455,0.57950485,0.0,6.3742758e-09,0.0,4.6300958e-08,0.529829,0.5545864,0.6158123,0.50460625,0.47023273,0.61446774,0.5717032,0.47449487,0.5256071,0.3870203,0.5026265,0.70839477,0.625,0.39272028,0.45901638,0.108485505,0.4622974,0.4467319,0.5665722
0.52279806,0.5100007,0.5020013,0.53455067,0.62551963,0.6122155,0.6826781,0.54536057,2.7886681e-08,4.756224e-09,0.0,2.5274739e-08,0.5017719,0.52705574,0.5879383,0.49165726,0.3289013,0.49917305,0.48046172,0.35156852,0.44897443,0.43617937,0.6150223,0.6701031,0.6806274,0.5555555,0.6754098,0.51664877,0.5057082,0.29198834,0.5503845
0.7352972,0.72540474,0.71809196,0.744637,0.40518937,0.5130335,0.55638087,0.5844134,1.7203478e-08,0.0,0.0,2.916277e-08,0.8603897,0.8145199,0.8478451,0.7698269,0.6518941,0.63869035,0.73216987,0.8033523,0.40908515,0.5006468,0.6208915,0.6745213,0.5228008,0.59578544,0.6688525,0.6025779,0.49499646,0.29610568,0.42897615
0.67850447,0.6677375,0.66050863,0.6875353,0.25172225,0.48956752,0.49826217,0.434056,2.1324205e-08,4.363893e-09,0.0,8.711182e-08,0.8247967,0.7934742,0.8293972,0.74121857,0.71358967,0.76448596,0.7816893,0.8318595,0.24088334,0.23557568,0.375,0.30103093,0.35850585,0.17796934,0.43213117,0.17722881,0.24823114,0.14843026,0.2242007
