PSurf_Winter,Rainf_Winter,Snowf_Winter,Tair_Winter,Wind_Winter,sand % topsoil,silt % topsoil,clay % topsoil,pH water topsoil,OC % topsoil,OC % subsoil,N % topsoil,N % subsoil,CEC topsoil,CaCO3 % topsoil,C/N topsoil
0.35534716,0.5909654,2.52542e-07,0.30654907,0.0,0.12520446,0.9016818,0.73886305,0.80412376,0.7543661,0.34865898,0.39999998,0.20515576,1.0,0.5551553,0.59894776
0.7065177,0.5456263,3.0313672e-07,0.8490639,0.80655974,0.08034478,0.29150498,0.20388255,0.12665689,0.04543987,0.0,0.05901639,0.017185822,0.22663847,0.1821925,0.080938876
0.69939375,0.60261476,2.714364e-07,0.83589554,0.8099223,0.35925508,0.5608021,0.6561069,0.69955826,0.44130015,0.71072793,0.61639345,0.7529539,0.56659615,0.3757077,0.42897615
0.69931984,0.7180053,2.145118e-07,0.8161392,0.81847185,0.35925508,0.5608021,0.6561069,0.69955826,0.44130015,0.71072793,0.61639345,0.7529539,0.56659615,0.3757077,0.42897615
0.72710896,0.7571298,1.8469537e-07,0.79660416,0.8203642,0.35925508,0.5608021,0.6561069,0.69955826,0.44130015,0.71072793,0.61639345,0.7529539,0.56659615,0.3757077,0.42897615
0.7500286,0.72949517,1.4166382e-07,0.77684975,0.80491465,0.08034478,0.29150498,0.20388255,0.12665689,0.04543987,0.0,0.05901639,0.017185822,0.22663847,0.1821925,0.080938876
0.7559447,0.7348496,1.2230971e-07,0.75255775,0.8004361,0.08034478,0.29150498,0.20388255,0.12665689,0.04543987,0.0,0.05901639,0.017185822,0.22663847,0.1821925,0.080938876
0.7490921,0.685182,1.3184824e-07,0.72395325,0.8172892,0.08034478,0.29150498,0.20388255,0.12665689,0.04543987,0.0,0.05901639,0.017185822,0.22663847,0.1821925,0.080938876
0.7489319,0.46193227,1.4093601e-07,0.6953449,0.80763954,0.08034478,0.29150498,0.20388255,0.12665689,0.04543987,0.0,0.05901639,0.017185822,0.22663847,0.1821925,0.080938876
0.7500901,0.394201,1.07284336e-07,0.66446877,0.7809226,0.08034478,0.29150498,0.20388255,0.12665689,0.04543987,0.0,0.05901639,0.017185822,0.22663847,0.1821925,0.080938876
0.75051117,0.41918346,2.1851997e-07,0.63586235,0.7502474,0.08034478,0.29150498,0.20388255,0.12665689,0.04543987,0.0,0.05901639,0.017185822,0.22663847,0.1821925,0.080938876
0.7383323,0.44634464,1.7476857e-07,0.6095238,0.69449955,0.08034478,0.29150498,0.20388255,0.12665689,0.04543987,0.0,0.05901639,0.017185822,0.22663847,0.1821925,0.080938876
0.74261093,0.6738044,1.3781363e-07,0.5370922,0.6696977,0.08034478,0.29150498,0.20388255,0.12665689,0.04543987,0.0,0.05901639,0.017185822,0.22663847,0.1821925,0.080938876
